"bill_id","bill_title","year","state","final_raw","introduced_raw","final_html_code_type","final_text","introduced_text","final_amended_out","final_same_as_introduced","mime_type_final","filetype","url_text_final","file_name"
GOVERNMENTS, AND THE SOURCE OF FUNDING SHALL BE LIMITED TO MONEY 8 DERIVED FROM TAXES, FEES AND OTHER SOURCES OF PUBLIC REVENUE.
9(B)  STATE AND LOCAL GOVERNMENTS, INCLUDING THEIR PUBLIC 10 OFFICERS, PUBLIC OFFICIALS, EMPLOYEES AND AGENTS, ACTING IN 
THEIR OFFICIAL CAPACITY, MAY NOT SOLICIT, APPLY FOR, ENTER INTO 
A CONTRACT FOR OR RECEIVE OR EXPEND GIFTS, DONATIONS, GRANTS OR 
FUNDING FROM ANY INDIVIDUAL, BUSINESS, ORGANIZATION, TRUST, 
FOUNDATION, OR ANY NONGOVERNMENTAL ENTITY FOR THE REGISTRATION 15 OF VOTERS OR THE PREPARATION, ADMINISTRATION OR CONDUCTING OF AN 16 ELECTION IN THIS COMMONWEALTH.
17(C)  THIS SECTION SHALL NOT BE CONSTRUED TO APPLY TO THE 18 COLLECTION OF FEES AUTHORIZED BY LAW OR TO THE DONATION OR USE 
OF:
(1)  A LOCATION FOR VOTING PURPOSES;
(2)  SERVICES THAT ARE PROVIDED WITHOUT REMUNERATION; OR 22 (3)  GOODS THAT HAVE A NOMINAL VALUE OF LESS THAN ONE HUNDRED 23 ($100) DOLLARS.
24SECTION 2.  SECTION 302(M) OF THE ACT IS AMENDED TO READ:
25SECTION 302.  POWERS AND DUTIES OF COUNTY BOARDS.--THE COUNTY 26 BOARDS OF ELECTIONS, WITHIN THEIR RESPECTIVE COUNTIES, SHALL EXERCISE, IN THE MANNER PROVIDED BY THIS ACT, ALL POWERS GRANTED 
TO THEM BY THIS ACT, AND SHALL PERFORM ALL THE DUTIES IMPOSED UPON THEM BY THIS ACT, WHICH SHALL INCLUDE THE FOLLOWING:
* * *
(M)  TO PREPARE AND SUBMIT, [WITHIN TWENTY DAYS AFTER THE LAST DAY TO REGISTER TO VOTE IN] NOT LATER THAN FIVE DAYS PRIOR TO EACH PRIMARY, MUNICIPAL AND GENERAL ELECTION, A REPORT TO THE SECRETARY OF THE COMMONWEALTH IN THE FORM PRESCRIBED BY HIM, WHICH SHALL CONTAIN A STATEMENT OF THE TOTAL NUMBER OF ELECTORS 
6 REGISTERED IN EACH ELECTION DISTRICT, TOGETHER WITH A BREAKDOWN 7 OF REGISTRATION BY EACH POLITICAL PARTY OR OTHER DESIGNATION. 
8 COPIES OF SAID STATEMENT SHALL BE FURNISHED, UPON REQUEST, TO 9 THE COUNTY CHAIRMAN OF EACH POLITICAL PARTY AND POLITICAL BODY. 10 THE SECRETARY OF THE COMMONWEALTH SHALL FORTHWITH SUBMIT SUCH 11 INFORMATION TO THE LEGISLATIVE DATA PROCESSING CENTER AND SHALL 12 PUBLICLY REPORT THE TOTAL NUMBER OF REGISTERED ELECTORS FOR EACH 13 POLITICAL PARTY OR OTHER DESIGNATION IN EACH COUNTY [NOT LATER 
14 THAN FIVE DAYS PRIOR TO THE PRIMARY, MUNICIPAL OR GENERAL 15 ELECTION] PRIOR TO ELECTION DAY.
16* * *
